,WTeam,LTeam,WLoc
203,Boston Celtics,Chicago Bulls,Home_Team
204,Miami Heat,Brooklyn Nets,Visitor_Team
205,Detroit Pistons,Toronto Raptors,Visitor_Team
206,Memphis Grizzlies,Milwaukee Bucks,Visitor_Team
207,Minnesota Timberwolves,New Orleans Pelicans,Home_Team
208,Oklahoma City Thunder,New York Knicks,Home_Team
209,Dallas Mavericks,Utah Jazz,Home_Team
210,Phoenix Suns,San Antonio Spurs,Home_Team
211,Los Angeles Lakers,Portland Trail Blazers,Home_Team
212,Houston Rockets,Golden State Warriors,Home_Team
213,Denver Nuggets,Atlanta Hawks,Home_Team
214,Los Angeles Clippers,San Antonio Spurs,Home_Team
215,Boston Celtics,Toronto Raptors,Home_Team
216,Indiana Pacers,Miami Heat,Home_Team
217,Philadelphia 76ers,Utah Jazz,Home_Team
218,Brooklyn Nets,Washington Wizards,Visitor_Team
219,Memphis Grizzlies,Sacramento Kings,Home_Team
220,Minnesota Timberwolves,Portland Trail Blazers,Home_Team
221,New Orleans Pelicans,New York Knicks,Home_Team
222,Milwaukee Bucks,Chicago Bulls,Home_Team
223,Los Angeles Clippers,Brooklyn Nets,Visitor_Team
224,Philadelphia 76ers,Charlotte Hornets,Visitor_Team
225,Indiana Pacers,Atlanta Hawks,Home_Team
226,New Orleans Pelicans,Denver Nuggets,Home_Team
227,Orlando Magic,Los Angeles Lakers,Home_Team
228,Utah Jazz,Boston Celtics,Visitor_Team
229,Toronto Raptors,Chicago Bulls,Visitor_Team
230,Houston Rockets,Sacramento Kings,Home_Team
231,Dallas Mavericks,Golden State Warriors,Home_Team
232,Oklahoma City Thunder,Phoenix Suns,Visitor_Team
233,Memphis Grizzlies,Minnesota Timberwolves,Visitor_Team
234,Los Angeles Lakers,Miami Heat,Visitor_Team
235,Orlando Magic,New York Knicks,Home_Team
236,Portland Trail Blazers,Washington Wizards,Visitor_Team
237,San Antonio Spurs,Golden State Warriors,Home_Team
238,Charlotte Hornets,Boston Celtics,Home_Team
239,Detroit Pistons,Cleveland Cavaliers,Home_Team
240,Indiana Pacers,Utah Jazz,Home_Team
241,Philadelphia 76ers,Phoenix Suns,Home_Team
242,Los Angeles Clippers,Atlanta Hawks,Visitor_Team
243,Memphis Grizzlies,Dallas Mavericks,Home_Team
244,Milwaukee Bucks,Denver Nuggets,Home_Team
245,New Orleans Pelicans,San Antonio Spurs,Home_Team
246,Sacramento Kings,Oklahoma City Thunder,Home_Team
247,Toronto Raptors,Orlando Magic,Visitor_Team
248,Washington Wizards,Los Angeles Clippers,Home_Team
249,Brooklyn Nets,Miami Heat,Visitor_Team
250,Portland Trail Blazers,New York Knicks,Visitor_Team
251,Charlotte Hornets,Indiana Pacers,Home_Team
252,Philadelphia 76ers,New Orleans Pelicans,Home_Team
253,Toronto Raptors,Atlanta Hawks,Visitor_Team
254,New York Knicks,Boston Celtics,Visitor_Team
255,Chicago Bulls,Phoenix Suns,Home_Team
256,Los Angeles Lakers,Cleveland Cavaliers,Visitor_Team
257,Houston Rockets,Detroit Pistons,Home_Team
258,Milwaukee Bucks,Portland Trail Blazers,Home_Team
259,Denver Nuggets,Minnesota Timberwolves,Visitor_Team
260,Dallas Mavericks,Brooklyn Nets,Home_Team
261,Memphis Grizzlies,San Antonio Spurs,Visitor_Team
262,Sacramento Kings,Utah Jazz,Visitor_Team
263,Oklahoma City Thunder,Golden State Warriors,Visitor_Team
264,Minnesota Timberwolves,Brooklyn Nets,Visitor_Team
265,Los Angeles Clippers,Memphis Grizzlies,Home_Team
266,Detroit Pistons,Houston Rockets,Home_Team
267,Boston Celtics,Atlanta Hawks,Visitor_Team
268,New York Knicks,New Orleans Pelicans,Home_Team
269,Cleveland Cavaliers,Philadelphia 76ers,Visitor_Team
270,Toronto Raptors,Washington Wizards,Home_Team
271,Miami Heat,Chicago Bulls,Visitor_Team
272,San Antonio Spurs,Indiana Pacers,Visitor_Team
273,Oklahoma City Thunder,Charlotte Hornets,Home_Team
274,Phoenix Suns,Milwaukee Bucks,Visitor_Team
275,Denver Nuggets,Orlando Magic,Home_Team
276,Golden State Warriors,Portland Trail Blazers,Home_Team
277,Los Angeles Lakers,Utah Jazz,Home_Team
278,Cleveland Cavaliers,Houston Rockets,Home_Team
279,Minnesota Timberwolves,Chicago Bulls,Home_Team
280,Denver Nuggets,Oklahoma City Thunder,Visitor_Team
281,Washington Wizards,New Orleans Pelicans,Home_Team
282,Dallas Mavericks,Boston Celtics,Home_Team
283,Golden State Warriors,Sacramento Kings,Home_Team
284,Milwaukee Bucks,San Antonio Spurs,Home_Team
285,Orlando Magic,Los Angeles Lakers,Visitor_Team
286,Detroit Pistons,Phoenix Suns,Home_Team
287,Atlanta Hawks,Charlotte Hornets,Home_Team
288,Philadelphia 76ers,Brooklyn Nets,Visitor_Team
289,New York Knicks,Memphis Grizzlies,Visitor_Team
290,Toronto Raptors,Miami Heat,Home_Team
291,Utah Jazz,Sacramento Kings,Visitor_Team
292,Los Angeles Clippers,Portland Trail Blazers,Visitor_Team
293,Charlotte Hornets,Milwaukee Bucks,Home_Team
294,Minnesota Timberwolves,Cleveland Cavaliers,Visitor_Team
295,Washington Wizards,Houston Rockets,Home_Team
296,San Antonio Spurs,Chicago Bulls,Visitor_Team
297,Boston Celtics,New Orleans Pelicans,Visitor_Team
298,Indiana Pacers,Utah Jazz,Visitor_Team
299,Golden State Warriors,Orlando Magic,Home_Team
300,Detroit Pistons,New York Knicks,Home_Team
301,Atlanta Hawks,Miami Heat,Visitor_Team
302,Toronto Raptors,Memphis Grizzlies,Visitor_Team
303,Denver Nuggets,Los Angeles Lakers,Home_Team
304,Indiana Pacers,Phoenix Suns,Visitor_Team
305,Charlotte Hornets,Atlanta Hawks,Home_Team
306,Philadelphia 76ers,New York Knicks,Home_Team
307,Utah Jazz,Brooklyn Nets,Visitor_Team
308,Dallas Mavericks,Houston Rockets,Visitor_Team
309,Milwaukee Bucks,Chicago Bulls,Home_Team
310,Minnesota Timberwolves,San Antonio Spurs,Home_Team
311,New Orleans Pelicans,Washington Wizards,Home_Team
312,Oklahoma City Thunder,Cleveland Cavaliers,Home_Team
313,Portland Trail Blazers,Orlando Magic,Home_Team
314,Los Angeles Clippers,Phoenix Suns,Home_Team
315,Toronto Raptors,Golden State Warriors,Home_Team
316,Los Angeles Lakers,Indiana Pacers,Home_Team
317,Los Angeles Clippers,Sacramento Kings,Visitor_Team
318,Boston Celtics,Cleveland Cavaliers,Home_Team
319,Utah Jazz,Charlotte Hornets,Visitor_Team
320,Detroit Pistons,Chicago Bulls,Home_Team
321,Philadelphia 76ers,Washington Wizards,Home_Team
322,Memphis Grizzlies,Brooklyn Nets,Visitor_Team
323,Miami Heat,New Orleans Pelicans,Home_Team
324,Oklahoma City Thunder,Atlanta Hawks,Home_Team
325,Houston Rockets,San Antonio Spurs,Visitor_Team
326,Orlando Magic,Phoenix Suns,Visitor_Team
327,Los Angeles Lakers,Dallas Mavericks,Home_Team
328,Denver Nuggets,Portland Trail Blazers,Visitor_Team
329,New York Knicks,Milwaukee Bucks,Home_Team
330,Detroit Pistons,Golden State Warriors,Home_Team
331,Washington Wizards,Brooklyn Nets,Home_Team
332,Toronto Raptors,Cleveland Cavaliers,Visitor_Team
333,Houston Rockets,Chicago Bulls,Home_Team
334,Boston Celtics,Minnesota Timberwolves,Visitor_Team
335,Sacramento Kings,Indiana Pacers,Home_Team
336,Los Angeles Lakers,Phoenix Suns,Home_Team
337,New Orleans Pelicans,Charlotte Hornets,Visitor_Team
338,Miami Heat,Utah Jazz,Home_Team
339,Philadelphia 76ers,Memphis Grizzlies,Home_Team
340,Dallas Mavericks,Los Angeles Clippers,Home_Team
341,San Antonio Spurs,Portland Trail Blazers,Home_Team
342,Oklahoma City Thunder,Detroit Pistons,Visitor_Team
343,Golden State Warriors,Atlanta Hawks,Visitor_Team
344,Cleveland Cavaliers,Brooklyn Nets,Visitor_Team
345,Washington Wizards,New York Knicks,Visitor_Team
346,Denver Nuggets,Toronto Raptors,Visitor_Team
347,Minnesota Timberwolves,Houston Rockets,Home_Team
348,Los Angeles Clippers,New Orleans Pelicans,Visitor_Team
349,Indiana Pacers,Chicago Bulls,Home_Team
350,Orlando Magic,Miami Heat,Visitor_Team
351,Dallas Mavericks,Portland Trail Blazers,Home_Team
352,Sacramento Kings,Phoenix Suns,Visitor_Team
353,Utah Jazz,San Antonio Spurs,Home_Team
354,Golden State Warriors,Cleveland Cavaliers,Visitor_Team
355,Denver Nuggets,Orlando Magic,Visitor_Team
356,Washington Wizards,Atlanta Hawks,Visitor_Team
357,Oklahoma City Thunder,Brooklyn Nets,Visitor_Team
358,Memphis Grizzlies,Los Angeles Clippers,Home_Team
359,Milwaukee Bucks,Detroit Pistons,Home_Team
360,Minnesota Timberwolves,Charlotte Hornets,Home_Team
361,New Orleans Pelicans,Dallas Mavericks,Home_Team
362,Toronto Raptors,Philadelphia 76ers,Home_Team
363,Los Angeles Lakers,San Antonio Spurs,Home_Team
364,Boston Celtics,New York Knicks,Home_Team
365,Portland Trail Blazers,Phoenix Suns,Home_Team
366,Utah Jazz,Houston Rockets,Home_Team
367,Charlotte Hornets,Denver Nuggets,Home_Team
368,Philadelphia 76ers,Detroit Pistons,Visitor_Team
369,Indiana Pacers,Orlando Magic,Visitor_Team
370,Brooklyn Nets,Toronto Raptors,Home_Team
371,Sacramento Kings,Cleveland Cavaliers,Visitor_Team
372,Chicago Bulls,Oklahoma City Thunder,Home_Team
373,Memphis Grizzlies,New Orleans Pelicans,Visitor_Team
374,San Antonio Spurs,Los Angeles Lakers,Home_Team
375,Miami Heat,Phoenix Suns,Visitor_Team
376,Golden State Warriors,Milwaukee Bucks,Visitor_Team
377,Dallas Mavericks,Houston Rockets,Home_Team
378,Indiana Pacers,Sacramento Kings,Home_Team
379,Atlanta Hawks,Denver Nuggets,Home_Team
380,Cleveland Cavaliers,Washington Wizards,Home_Team
381,Brooklyn Nets,New York Knicks,Visitor_Team
382,Boston Celtics,Chicago Bulls,Visitor_Team
383,Los Angeles Lakers,Memphis Grizzlies,Visitor_Team
384,Portland Trail Blazers,Minnesota Timberwolves,Home_Team
385,Miami Heat,Los Angeles Clippers,Visitor_Team
386,New Orleans Pelicans,Detroit Pistons,Visitor_Team
387,Milwaukee Bucks,Toronto Raptors,Visitor_Team
388,San Antonio Spurs,Utah Jazz,Home_Team
389,Charlotte Hornets,New York Knicks,Visitor_Team
390,Indiana Pacers,Washington Wizards,Home_Team
391,Philadelphia 76ers,Detroit Pistons,Home_Team
392,Boston Celtics,New Orleans Pelicans,Home_Team
393,Sacramento Kings,Chicago Bulls,Visitor_Team
394,Milwaukee Bucks,Cleveland Cavaliers,Home_Team
395,Oklahoma City Thunder,Utah Jazz,Home_Team
396,Dallas Mavericks,Orlando Magic,Home_Team
397,Denver Nuggets,Memphis Grizzlies,Home_Team
398,Los Angeles Clippers,Phoenix Suns,Visitor_Team
399,Golden State Warriors,Minnesota Timberwolves,Home_Team
400,Los Angeles Lakers,Miami Heat,Home_Team
401,Houston Rockets,Portland Trail Blazers,Home_Team
402,San Antonio Spurs,Phoenix Suns,Home_Team
403,Toronto Raptors,Los Angeles Clippers,Visitor_Team
404,Charlotte Hornets,Detroit Pistons,Home_Team
405,Cleveland Cavaliers,New York Knicks,Home_Team
406,Indiana Pacers,Milwaukee Bucks,Home_Team
407,Brooklyn Nets,Philadelphia 76ers,Visitor_Team
408,Boston Celtics,Washington Wizards,Visitor_Team
409,Memphis Grizzlies,Portland Trail Blazers,Home_Team
410,New Orleans Pelicans,Oklahoma City Thunder,Home_Team
411,Dallas Mavericks,Atlanta Hawks,Home_Team
412,Utah Jazz,Miami Heat,Home_Team
413,Sacramento Kings,Minnesota Timberwolves,Home_Team
414,Toronto Raptors,Golden State Warriors,Visitor_Team
415,Houston Rockets,Los Angeles Lakers,Home_Team
416,San Antonio Spurs,Los Angeles Clippers,Home_Team
417,Orlando Magic,Chicago Bulls,Home_Team
418,Phoenix Suns,Dallas Mavericks,Home_Team
419,Boston Celtics,Atlanta Hawks,Home_Team
420,New York Knicks,Charlotte Hornets,Visitor_Team
421,Brooklyn Nets,Washington Wizards,Home_Team
422,Milwaukee Bucks,Cleveland Cavaliers,Visitor_Team
423,Indiana Pacers,Philadelphia 76ers,Visitor_Team
424,Miami Heat,Memphis Grizzlies,Visitor_Team
425,Denver Nuggets,Oklahoma City Thunder,Home_Team
426,Portland Trail Blazers,Toronto Raptors,Home_Team
427,Golden State Warriors,Sacramento Kings,Visitor_Team
428,Orlando Magic,Utah Jazz,Home_Team
429,Los Angeles Lakers,Charlotte Hornets,Visitor_Team
430,Detroit Pistons,Boston Celtics,Home_Team
431,Houston Rockets,Memphis Grizzlies,Visitor_Team
432,Chicago Bulls,San Antonio Spurs,Visitor_Team
433,Oklahoma City Thunder,Los Angeles Clippers,Home_Team
434,Phoenix Suns,Minnesota Timberwolves,Home_Team
435,Brooklyn Nets,Atlanta Hawks,Home_Team
436,Philadelphia 76ers,Cleveland Cavaliers,Visitor_Team
437,Indiana Pacers,New York Knicks,Home_Team
438,Washington Wizards,Los Angeles Lakers,Home_Team
439,Sacramento Kings,Dallas Mavericks,Visitor_Team
440,Miami Heat,New Orleans Pelicans,Visitor_Team
441,Denver Nuggets,Toronto Raptors,Home_Team
442,Milwaukee Bucks,Detroit Pistons,Visitor_Team
443,Phoenix Suns,New York Knicks,Visitor_Team
444,Houston Rockets,Utah Jazz,Home_Team
445,Minnesota Timberwolves,Sacramento Kings,Home_Team
446,Oklahoma City Thunder,Chicago Bulls,Home_Team
447,San Antonio Spurs,Philadelphia 76ers,Home_Team
448,Golden State Warriors,Memphis Grizzlies,Home_Team
449,Portland Trail Blazers,Los Angeles Clippers,Visitor_Team
450,Cleveland Cavaliers,Indiana Pacers,Visitor_Team
451,Atlanta Hawks,Washington Wizards,Home_Team
452,Brooklyn Nets,Los Angeles Lakers,Home_Team
453,Denver Nuggets,Dallas Mavericks,Home_Team
454,Charlotte Hornets,Cleveland Cavaliers,Home_Team
455,San Antonio Spurs,Orlando Magic,Visitor_Team
456,Philadelphia 76ers,New York Knicks,Home_Team
457,Phoenix Suns,Boston Celtics,Visitor_Team
458,Toronto Raptors,Indiana Pacers,Home_Team
459,Brooklyn Nets,Chicago Bulls,Visitor_Team
460,Houston Rockets,Washington Wizards,Home_Team
461,Milwaukee Bucks,New Orleans Pelicans,Home_Team
462,Detroit Pistons,Minnesota Timberwolves,Visitor_Team
463,Utah Jazz,Golden State Warriors,Home_Team
464,Portland Trail Blazers,Memphis Grizzlies,Home_Team
465,Oklahoma City Thunder,Sacramento Kings,Visitor_Team
466,Miami Heat,Houston Rockets,Home_Team
467,Los Angeles Clippers,Dallas Mavericks,Home_Team
468,Charlotte Hornets,Detroit Pistons,Home_Team
469,Toronto Raptors,Cleveland Cavaliers,Home_Team
470,Indiana Pacers,Brooklyn Nets,Visitor_Team
471,Atlanta Hawks,New York Knicks,Visitor_Team
472,Milwaukee Bucks,Boston Celtics,Visitor_Team
473,Chicago Bulls,Orlando Magic,Home_Team
474,San Antonio Spurs,Minnesota Timberwolves,Home_Team
475,Utah Jazz,Portland Trail Blazers,Visitor_Team
476,Sacramento Kings,Memphis Grizzlies,Home_Team
477,Los Angeles Lakers,New Orleans Pelicans,Home_Team
478,Los Angeles Clippers,Denver Nuggets,Home_Team
479,Washington Wizards,Phoenix Suns,Home_Team
480,Philadelphia 76ers,Toronto Raptors,Home_Team
481,Houston Rockets,San Antonio Spurs,Home_Team
482,Miami Heat,Milwaukee Bucks,Home_Team
483,Golden State Warriors,Dallas Mavericks,Home_Team
484,Oklahoma City Thunder,Utah Jazz,Visitor_Team
485,Atlanta Hawks,Detroit Pistons,Visitor_Team
486,Indiana Pacers,Washington Wizards,Home_Team
487,Boston Celtics,Charlotte Hornets,Home_Team
488,Brooklyn Nets,Phoenix Suns,Home_Team
489,Chicago Bulls,Cleveland Cavaliers,Visitor_Team
490,Miami Heat,Orlando Magic,Visitor_Team
491,Sacramento Kings,New Orleans Pelicans,Home_Team
492,Minnesota Timberwolves,Oklahoma City Thunder,Visitor_Team
493,Golden State Warriors,Los Angeles Clippers,Home_Team
494,Portland Trail Blazers,Dallas Mavericks,Home_Team
495,Memphis Grizzlies,Los Angeles Lakers,Visitor_Team
